commit_id,cbo,wmc,rfc,changed_sloc
21,8.2165,11.6559,16.7099,4
22,8.2165,11.6557,16.7096,3
23,8.2165,11.6557,16.7096,2
24,8.2168,11.6562,16.7102,26
25,8.2168,11.6563,16.7106,14
26,8.2168,11.6563,16.7106,9
27,8.217,11.6565,16.7112,9
28,8.2163,11.6553,16.71,13
29,8.2162,11.6527,16.707,11
30,8.2161,11.6534,16.7087,22
31,8.216,11.6515,16.7069,34
32,8.216,11.6515,16.7069,410
33,8.2159,11.6512,16.7066,20
34,8.216,11.6516,16.7071,60
35,8.2161,11.6517,16.7074,16
36,8.2166,11.652,16.7105,2
37,8.2166,11.6517,16.7103,3
38,8.2166,11.6517,16.7103,4
39,8.2166,11.6517,16.7102,3
5124,4.9613,16.2218,10.5983,78
5123,4.9613,16.2286,10.5983,6
5122,4.9613,16.2319,10.5983,2
5121,4.9613,16.2504,10.5983,106
5120,4.9613,16.2487,10.6017,10
5119,4.9647,16.2555,10.605,2
5118,4.9647,16.2555,10.6067,44
5117,4.9664,16.2555,10.6101,25
5116,4.9765,16.2689,10.6303,26
5115,4.9832,16.2824,10.642,95
5114,4.9832,16.2824,10.642,205
5113,4.9832,16.2824,10.642,7
5112,4.9832,16.2891,10.642,11
5111,7.8936,4.8043,8.6542,24
5110,7.892,4.8098,8.6538,413
5109,7.8939,4.8168,8.6625,1068
5108,7.8937,4.8214,8.6676,20
5107,7.8882,4.7169,8.598,173
5106,7.8882,4.7169,8.598,349
5105,7.8882,4.7169,8.598,27
5104,7.8882,4.7172,8.5978,101
5103,7.8937,4.8214,8.6676,68
5102,7.894,4.8484,8.7219,131
5101,7.894,4.8476,8.7216,19
5100,7.8885,4.7171,8.5909,87
5099,7.8885,4.7171,8.5909,12
5098,7.8885,4.7171,8.5909,94
3272,1.8744,8.7488,6.5535,10
2954,3.3701,3.2952,4.9604,86
2955,3.3695,3.2947,4.9599,2
2956,3.3695,3.2947,4.9599,38
2957,3.3695,3.2947,4.9599,84
2958,3.3688,3.3024,4.9703,7
2959,3.3688,3.3018,4.9676,24
3459,3.9342,20.0908,4.8776,8
3460,3.9316,20.0763,4.8724,9
3461,3.9316,20.0763,4.8724,95
3462,3.9316,20.0763,4.8724,171
5097,7.8885,4.7174,8.5911,86
3463,3.9316,20.0763,4.8724,9
3464,3.9316,20.0763,4.8724,6
3465,3.9316,20.0763,4.8724,349
3466,3.9316,20.0763,4.8724,2687
3467,3.9316,20.0763,4.8724,11
3468,3.9316,20.0763,4.8711,36
3469,3.9316,20.0763,4.8711,2
3470,3.9316,20.0763,4.8711,116
3471,3.9316,20.0763,4.8711,50
